Date Time,Open,High,Low,Close,Volume,,,
2013-03-14 15:30:00,5861.6,5949.9,5805.05,5939.75,9274975,,,
2013-03-15 15:30:00,5945,5967.4,5880,5897.1,6478475,,,
2013-03-18 15:30:00,5844.7,5869.7,5834.9,5851.4,4291875,,,
2013-03-19 15:30:00,5863,5869.45,5736.55,5751.9,10010825,,,
2013-03-20 15:30:00,5735,5758.55,5701,5715.5,6589575,,,
2013-03-21 15:30:00,5729.9,5772,5655.05,5664.45,8566450,,,
2013-03-22 15:30:00,5660,5707.6,5641.95,5668.4,5748675,,,
2013-03-25 15:30:00,5700,5717.2,5633.9,5645.05,6202425,,,
2013-03-26 15:30:00,5624,5658.8,5619.55,5640.35,5431400,,,
2013-03-28 15:30:00,5635.25,5684.55,5604,5676.5,7166800,,,
2013-04-01 15:30:00,5716.35,5743,5696.1,5726.55,3833800,,,
2013-04-02 15:30:00,5711,5773.35,5704.6,5766.6,4136875,,,
2013-04-03 15:30:00,5746,5763.2,5666.4,5688.1,5202850,,,
2013-04-04 15:30:00,5657.75,5658.5,5583.3,5593.2,6938925,,,
2013-04-05 15:30:00,5586,5594,5552.8,5572.05,5996325,,,
2013-04-08 15:30:00,5550,5587.2,5550,5559,3296850,,,
2013-04-09 15:30:00,5584.9,5622.4,5494,5500.85,7135125,,,
2013-04-10 15:30:00,5529,5577.65,5480.3,5563.85,7149375,,,
2013-04-11 15:30:00,5595,5617.85,5542.2,5594.8,6362850,,,
2013-04-12 15:30:00,5529,5563,5515.1,5535.2,5487225,,,
2013-04-15 15:30:00,5510,5600.95,5503.15,5568.05,5866850,,,
2013-04-16 15:30:00,5549,5708,5538.9,5696.35,8929775,,,
2013-04-17 15:30:00,5709.95,5733.45,5666.2,5694.2,6462950,,,
2013-04-18 15:30:00,5719.9,5796.7,5685.45,5783,6259250,,,
2013-04-22 15:30:00,5816.3,5843.1,5791,5832.85,6320100,,,
2013-04-23 15:30:00,5833.45,5852.45,5795.6,5843,6926375,,,
2013-04-25 15:30:00,5898.4,5924.35,5861,5910.05,8401425,,,
2013-04-26 15:30:00,5919,5920,5877.15,5887.75,4131775,,,
2013-04-29 15:30:00,5894,5934.9,5884.65,5918.2,3062000,,,
2013-04-30 15:30:00,5950,5965.9,5867,5929,5697775,,,
2013-05-02 15:30:00,5936,6024.95,5930,6007.4,6010550,,,
2013-05-03 15:30:00,6000.1,6006,5937.45,5948.25,6516725,,,
2013-05-06 15:30:00,5960,5981.4,5930.2,5971.3,3829025,,,
2013-05-07 15:30:00,5988.2,6057,5985.05,6050.3,4752925,,,
2013-05-08 15:30:00,6067.2,6089.9,6025.3,6075.2,4865525,,,
2013-05-09 15:30:00,6090,6090,6038.1,6048.95,3858925,,,
2013-05-10 15:30:00,6053,6118,6045.45,6108.35,4864750,,,
2013-05-11 15:30:00,6101.85,6129.9,6099,6118.7,366350,,,
2013-05-13 15:30:00,6114.85,6119,5986.1,5994.45,6204025,,,
2013-05-14 15:30:00,5994.5,6039.9,5980.5,6006,5624425,,,
2013-05-15 15:30:00,6026.6,6168.9,6026.25,6161.5,7984200,,,
2013-05-16 15:30:00,6159.95,6198,6143.55,6178.05,4803975,,,
2013-05-17 15:30:00,6185.1,6209.2,6152.55,6196.1,3967475,,,
2013-05-20 15:30:00,6206.1,6239,6154.35,6164.85,4603625,,,
2013-05-21 15:30:00,6168.55,6189.6,6106,6116.9,5873375,,,
2013-05-22 15:30:00,6134,6154,6081.3,6104.05,5089375,,,
2013-05-23 15:30:00,6078,6079.9,5952.6,5966.1,9166025,,,
2013-05-24 15:30:00,6000,6011.45,5936.1,5985.4,6070200,,,
2013-05-27 15:30:00,5988.75,6100,5972.75,6083.45,5958025,,,
2013-05-28 15:30:00,6071,6127,6048.1,6109.4,7674400,,,
2013-05-29 15:30:00,6113.4,6113.4,6055.55,6090.25,5700425,,,
2013-05-30 15:30:00,6052,6131,6052,6124.2,6958675,,,
2013-05-31 15:30:00,6119,6119,5991,6000.05,6950075,,,
2013-06-03 15:30:00,6020,6080.15,5925,5959.2,5654150,,,
2013-06-04 15:30:00,5948.25,5994.9,5921,5932.35,4861175,,,
2013-06-05 15:30:00,5920.55,5951.9,5896.25,5938.3,5568950,,,
2013-06-06 15:30:00,5900,5969.25,5878.3,5936.85,6193200,,,
2013-06-07 15:30:00,5933.5,5989.95,5883.1,5895.2,8326300,,,
2013-06-10 15:30:00,5920.1,5939.7,5867.25,5893.35,5340600,,,
2013-06-11 15:30:00,5868,5877.45,5793.6,5801.65,8791400,,,
2013-06-12 15:30:00,5778.9,5808.8,5747.2,5771.9,6971300,,,
2013-06-13 15:30:00,5720.25,5738.45,5692.25,5705.45,6649025,,,
2013-06-14 15:30:00,5769,5823.45,5735,5805.95,6053225,,,
2013-06-17 15:30:00,5818.5,5852,5770,5847.75,6495725,,,
2013-06-18 15:30:00,5839.9,5867.4,5800.2,5812,5988550,,,
2013-06-19 15:30:00,5802.65,5829.1,5776.15,5822.7,5246925,,,
2013-06-20 15:30:00,5749.5,5750,5640.25,5648.45,8717250,,,
2013-06-21 15:30:00,5629.9,5682,5613.9,5661.85,7582800,,,
2013-06-24 15:30:00,5628,5628,5556.6,5588.3,7644175,,,
2013-06-25 15:30:00,5603,5667.55,5568.55,5608.3,9659025,,,
2013-06-26 15:30:00,5620,5630.6,5571,5581.1,7633500,,,
2013-06-27 15:30:00,5639.4,5702.9,5627.05,5683.9,9950550,,,
2013-06-28 15:30:00,5761.15,5852,5761.15,5841.45,7825200,,,
2013-07-01 15:30:00,5829.9,5896.5,5825.05,5892.2,5406750,,,
2013-07-02 15:30:00,5878,5889.8,5850.1,5859.05,4547275,,,
2013-07-03 15:30:00,5816.4,5816.4,5755,5767.85,6351425,,,
2013-07-04 15:30:00,5793.95,5854.6,5781,5840.1,6919550,,,
2013-07-05 15:30:00,5870.1,5904.8,5858.4,5874.95,4667300,,,
2013-07-08 15:30:00,5837.4,5844,5772.6,5829.25,6405350,,,
2013-07-09 15:30:00,5850.55,5876.9,5842.2,5868.35,4473825,,,
2013-07-10 15:30:00,5877,5887,5808,5822.05,5045025,,,
2013-07-11 15:30:00,5898.15,5963,5893,5941.35,7188400,,,
2013-07-12 15:30:00,6004.9,6021,5951,6007.25,6179425,,,
2013-07-15 15:30:00,6005.6,6044.75,5984.45,6032.6,4954775,,,
2013-07-16 15:30:00,6032,6032,5844.4,5969.7,6211825,,,
2013-07-17 15:30:00,5982.85,5998.8,5932.05,5970.85,6156125,,,
2013-07-18 15:30:00,5986.25,6066.2,5981.1,6052.4,5812225,,,
2013-07-19 15:30:00,6054,6074.4,6034.05,6042.55,5058475,,,
2013-07-22 15:30:00,6028.8,6072.9,6017.95,6043.55,4515250,,,
2013-07-23 15:30:00,6077,6107.25,6069.6,6087,5948625,,,
2013-07-24 15:30:00,6046.55,6059,5971.2,6002.7,7477075,,,
2013-07-25 15:30:00,5980.2,5994.7,5899.05,5907.35,8119550,,,
2013-07-26 15:30:00,5955,5974.25,5907.5,5925.25,5564900,,,
2013-07-29 15:30:00,5915.55,5924,5871,5877.35,3687100,,,
2013-07-30 15:30:00,5883.3,5905,5787.3,5797.55,6746125,,,
2013-07-31 15:30:00,5780,5792.5,5715,5781.05,6683175,,,
2013-08-01 15:30:00,5799,5841,5701,5762.05,9031875,,,
2013-08-02 15:30:00,5779,5787.3,5681.6,5705.55,5797750,,,
2013-08-05 15:30:00,5720,5762.7,5695.55,5723.6,4786550,,,
2013-08-06 15:30:00,5687.85,5688.95,5546.05,5573.35,8242050,,,
2013-08-07 15:30:00,5578,5603,5515.8,5554.15,9044075,,,
2013-08-08 15:30:00,5552.15,5602,5541.5,5589.7,5208700,,,
2013-08-12 15:30:00,5598.5,5658.95,5568.1,5621.75,6615375,,,
